Before erosion ID,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 Connectivity,2 Connectivity,4 Connectivity,5 Connectivity
226,0.2139487,3,226,Not eroded,0,1,0,0,0,0,1,0,0,1,1
227,0.1773039,3,227,Not eroded,0,0,0,0,0,0,1,0,0,1,1
228,0.06426652,4,228,Not eroded,0,0,0,0,0,0,0,0,0,1,1
229,0.1579523,6,229,Not eroded,0,0,0,0,0,0,0,0,0,0,0
230,0.1590876,0,230,Not eroded,0,0,0,0,0,0,1,1,1,1,1
231,0.1711695,5,231,Not eroded,0,0,0,0,0,0,0,0,0,0,1
232,0.3249976,0,232,ERODED,1,1,1,1,1,1,1,1,1,1,1
233,0.08198421,4,233,Not eroded,0,0,0,0,0,0,0,0,0,1,1
234,0.05626856,5,234,Not eroded,0,0,0,0,0,0,0,0,0,0,1
235,0.05621861,5,235,Not eroded,0,0,0,0,0,0,0,0,0,0,1
236,0.07072264,5,236,Not eroded,0,0,0,0,0,0,0,0,0,0,1
237,0.1776265,0,237,Not eroded,0,0,0,0,0,0,1,1,1,1,1
238,0.2508298,4,238,Not eroded,0,1,1,1,1,1,0,0,0,1,1
239,0.3164421,0,239,ERODED,1,1,1,1,1,1,1,1,1,1,1
240,0.05620092,3,240,Not eroded,0,0,0,0,0,0,1,0,0,1,1
241,0.2373363,0,241,Not eroded,0,1,1,1,0,0,1,1,1,1,1
242,0.2625158,5,242,Not eroded,0,1,1,1,1,1,0,0,0,0,1
243,0.06920344,4,243,Not eroded,0,0,0,0,0,0,0,0,0,1,1
244,0.1937961,4,244,Not eroded,0,1,0,0,0,0,0,0,0,1,1
245,0.3115631,2,245,Not eroded,0,1,1,1,1,1,1,0,1,1,1
246,0.2068389,5,246,Not eroded,0,1,0,0,0,0,0,0,0,0,1
247,0.1610385,0,247,Not eroded,0,0,0,0,0,0,1,1,1,1,1
248,0.1395923,0,248,Not eroded,0,0,0,0,0,0,1,1,1,1,1
249,0.1654767,5,249,Not eroded,0,0,0,0,0,0,0,0,0,0,1
250,0.1456685,4,250,Not eroded,0,0,0,0,0,0,0,0,0,1,1
251,0.05625341,4,251,Not eroded,0,0,0,0,0,0,0,0,0,1,1
252,0.2071327,3,252,Not eroded,0,1,0,0,0,0,1,0,0,1,1
253,0.1058559,6,253,Not eroded,0,0,0,0,0,0,0,0,0,0,0
254,0.0562636,4,254,Not eroded,0,0,0,0,0,0,0,0,0,1,1
255,0.0704293,4,255,Not eroded,0,0,0,0,0,0,0,0,0,1,1
258,0.06938328,3,258,Not eroded,0,0,0,0,0,0,1,0,0,1,1
259,0.1066865,4,259,Not eroded,0,0,0,0,0,0,0,0,0,1,1
260,0.08518786,3,260,Not eroded,0,0,0,0,0,0,1,0,0,1,1
261,0.1464537,4,261,Not eroded,0,0,0,0,0,0,0,0,0,1,1
262,0.2351331,2,262,Not eroded,0,1,1,1,0,0,1,0,1,1,1
263,0.2156817,2,263,Not eroded,0,1,0,0,0,0,1,0,1,1,1
264,0.3017845,0,264,ERODED,1,1,1,1,1,1,1,1,1,1,1
265,0.1204583,6,265,Not eroded,0,0,0,0,0,0,0,0,0,0,0
266,0.05621001,3,266,Not eroded,0,0,0,0,0,0,1,0,0,1,1
267,0.2256755,5,267,Not eroded,0,1,1,0,0,0,0,0,0,0,1
268,0.110521,4,268,Not eroded,0,0,0,0,0,0,0,0,0,1,1
269,0.1285062,4,269,Not eroded,0,0,0,0,0,0,0,0,0,1,1
270,0.2829213,0,270,Not eroded,0,1,1,1,1,1,1,1,1,1,1
272,0.3182721,0,272,ERODED,1,1,1,1,1,1,1,1,1,1,1
