Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location Half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity
666,1.27E-01,2.25E-01,3.22E-01,0,666,ERODED,1,1,1,1,1,1,1,1,1,1,1
668,1.87E-01,1.68E-01,2.56E-01,4,668,Not eroded,0,1,1,1,1,1,0,0,0,1,1
669,9.47E-02,1.29E-01,2.82E-01,3,669,Not eroded,0,1,1,1,1,1,1,0,0,1,1
674,5.64E-02,3.23E-01,2.55E-01,0,674,Not eroded,0,1,1,1,1,1,1,1,1,1,1
676,1.70E-01,1.30E-01,2.42E-01,4,676,Not eroded,0,1,1,1,1,0,0,0,0,1,1
685,7.54E-02,6.50E-02,2.70E-01,5,685,Not eroded,0,1,1,1,1,1,0,0,0,0,1
690,1.74E-01,2.81E-01,3.14E-01,0,690,ERODED,1,1,1,1,1,1,1,1,1,1,1
697,1.94E-01,2.91E-01,3.27E-01,0,697,ERODED,1,1,1,1,1,1,1,1,1,1,1
698,5.63E-02,8.94E-02,3.04E-01,0,698,ERODED,1,1,1,1,1,1,1,1,1,1,1
705,2.97E-01,3.14E-01,2.99E-01,0,705,Not eroded,0,1,1,1,1,1,1,1,1,1,1
710,1.34E-01,2.57E-01,3.10E-01,0,710,ERODED,1,1,1,1,1,1,1,1,1,1,1
711,3.24E-01,1.75E-01,3.17E-01,0,711,ERODED,1,1,1,1,1,1,1,1,1,1,1
713,1.30E-01,1.04E-01,2.43E-01,0,713,Not eroded,0,1,1,1,1,0,1,1,1,1,1
722,2.02E-01,3.15E-01,2.78E-01,0,722,Not eroded,0,1,1,1,1,1,1,1,1,1,1
723,1.74E-01,2.09E-01,2.56E-01,3,723,Not eroded,0,1,1,1,1,1,1,0,0,1,1
724,5.62E-02,1.48E-01,2.95E-01,3,724,Not eroded,0,1,1,1,1,1,1,0,0,1,1
726,1.31E-01,2.58E-01,2.71E-01,0,726,Not eroded,0,1,1,1,1,1,1,1,1,1,1
730,1.22E-01,3.12E-01,3.05E-01,0,730,ERODED,1,1,1,1,1,1,1,1,1,1,1
733,5.95E-02,1.01E-01,3.20E-01,0,733,ERODED,1,1,1,1,1,1,1,1,1,1,1
737,1.85E-01,1.69E-01,3.25E-01,0,737,ERODED,1,1,1,1,1,1,1,1,1,1,1
738,1.03E-01,2.25E-01,2.95E-01,5,738,Not eroded,0,1,1,1,1,1,0,0,0,0,1
742,2.00E-01,6.01E-02,3.19E-01,0,742,ERODED,1,1,1,1,1,1,1,1,1,1,1
746,1.00E-01,2.04E-01,2.74E-01,6,746,Not eroded,0,1,1,1,1,1,0,0,0,0,0
750,2.61E-01,2.07E-01,2.92E-01,0,750,Not eroded,0,1,1,1,1,1,1,1,1,1,1
759,1.42E-01,6.48E-02,2.89E-01,3,759,Not eroded,0,1,1,1,1,1,1,0,0,1,1
762,3.14E-01,1.19E-01,2.98E-01,0,762,ERODED,1,1,1,1,1,1,1,1,1,1,1
769,2.64E-01,1.48E-01,3.25E-01,0,769,ERODED,1,1,1,1,1,1,1,1,1,1,1
772,2.04E-01,2.67E-01,2.76E-01,2,772,Not eroded,0,1,1,1,1,1,1,0,1,1,1
782,2.05E-01,2.66E-01,2.64E-01,3,782,Not eroded,0,1,1,1,1,1,1,0,0,1,1
786,1.48E-01,6.20E-02,3.25E-01,0,786,ERODED,1,1,1,1,1,1,1,1,1,1,1
