Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,,Z location Half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,,4Connectivity,5Connectivity,2Connectivity,1Connectivity,0Connectivity
340,5.98E-02,2.54E-01,2.44E-01,3,340,Not eroded,0,0,1,1,1,1,0,4.49E-07,-5.01E-08,1.48E-07,4.76E-07,1.59E-07,1,8.51E-04,1,1,0,0,0
341,3.23E-01,8.90E-02,2.72E-01,0,341,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
345,1.56E-01,7.23E-02,2.86E-01,3,345,Not eroded,0,0,1,1,1,1,1,-2.01E-07,-1.93E-07,-1.88E-07,3.36E-07,1.12E-07,1,6.01E-04,1,1,0,0,0
346,1.93E-01,1.13E-01,2.78E-01,2,346,Not eroded,0,0,1,1,1,1,1,-3.04E-07,1.46E-06,-8.47E-07,1.72E-06,8.59E-07,1,3.08E-03,1,1,1,0,0
364,2.71E-01,3.25E-01,2.84E-01,0,364,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
370,3.04E-01,9.85E-02,2.83E-01,2,370,Not eroded,0,0,1,1,1,1,1,-2.43E-07,1.29E-06,6.23E-07,1.45E-06,7.26E-07,1,2.59E-03,1,1,1,0,0
372,1.58E-01,1.80E-01,2.73E-01,0,372,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
377,3.19E-01,1.51E-01,3.00E-01,0,377,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
379,2.77E-01,2.60E-01,2.91E-01,0,379,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
381,5.60E-02,2.62E-01,2.85E-01,0,381,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
383,1.75E-01,3.25E-01,2.97E-01,4,383,Not eroded,0,0,1,1,1,1,1,2.94E-07,-7.83E-07,6.56E-08,8.39E-07,2.10E-07,0,1.50E-03,1,1,0,0,0
388,3.17E-01,2.54E-01,2.98E-01,5,388,Not eroded,0,0,1,1,1,1,1,1.56E-06,8.48E-06,-4.17E-06,9.58E-06,1.92E-06,0,1.71E-02,0,1,0,0,0
391,8.14E-02,1.84E-01,2.77E-01,0,391,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
393,1.84E-01,3.16E-01,2.42E-01,2,393,Not eroded,0,0,1,1,1,1,0,1.19E-07,6.20E-08,1.08E-07,1.72E-07,8.62E-08,1,3.08E-04,1,1,1,0,0
394,2.07E-01,1.04E-01,2.84E-01,3,394,Not eroded,0,0,1,1,1,1,1,2.39E-07,1.83E-06,1.40E-07,1.86E-06,6.18E-07,1,3.33E-03,1,1,0,0,0
395,9.45E-02,3.15E-01,2.66E-01,0,395,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
400,1.79E-01,3.18E-01,2.91E-01,4,400,Not eroded,0,0,1,1,1,1,1,3.15E-07,2.27E-07,9.04E-08,3.99E-07,9.97E-08,0,7.14E-04,1,1,0,0,0
401,1.58E-01,1.30E-01,3.00E-01,0,401,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
409,9.21E-02,2.32E-01,2.86E-01,0,409,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
410,2.63E-01,5.61E-02,2.63E-01,0,410,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
414,3.24E-01,5.61E-02,2.55E-01,0,414,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
418,2.08E-01,1.46E-01,2.60E-01,3,418,Not eroded,0,0,1,1,1,1,1,-1.14E-06,9.69E-07,2.68E-07,1.52E-06,5.06E-07,1,2.72E-03,1,1,0,0,0
419,1.42E-01,5.61E-02,2.49E-01,3,419,Not eroded,0,0,1,1,1,1,0,4.34E-07,-1.00E-06,2.13E-07,1.11E-06,3.71E-07,1,1.99E-03,1,1,0,0,0
420,1.78E-01,1.95E-01,2.84E-01,3,420,Not eroded,0,0,1,1,1,1,1,-1.48E-06,1.25E-06,3.15E-07,1.96E-06,6.54E-07,1,3.51E-03,1,1,0,0,0
425,5.95E-02,2.82E-01,3.14E-01,0,425,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
431,1.01E-01,5.61E-02,2.84E-01,4,431,Not eroded,0,0,1,1,1,1,1,2.81E-07,-8.30E-07,1.42E-07,8.87E-07,2.22E-07,0,1.59E-03,1,1,0,0,0
432,1.32E-01,3.16E-01,2.49E-01,4,432,Not eroded,0,0,1,1,1,1,0,-3.46E-08,7.64E-07,4.65E-07,8.95E-07,2.24E-07,0,1.60E-03,1,1,0,0,0
433,1.51E-01,1.21E-01,2.96E-01,0,433,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
437,2.35E-01,1.11E-01,2.84E-01,0,437,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
442,6.59E-02,3.25E-01,2.63E-01,0,442,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
443,5.60E-02,2.03E-01,2.51E-01,2,443,Not eroded,0,0,1,1,1,1,1,-1.91E-07,2.35E-07,-5.86E-08,3.08E-07,1.54E-07,1,5.51E-04,1,1,1,0,0
448,9.28E-02,1.27E-01,2.51E-01,2,448,Not eroded,0,0,1,1,1,1,1,7.77E-08,8.74E-08,2.34E-07,2.61E-07,1.31E-07,1,4.67E-04,1,1,1,0,0
449,1.38E-01,5.61E-02,3.05E-01,0,449,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
455,2.81E-01,2.17E-01,2.43E-01,6,455,Not eroded,0,0,1,1,1,1,0,4.07E-06,3.35E-06,5.18E-06,7.39E-06,1.23E-06,0,1.32E-02,0,0,0,0,0
463,2.57E-01,2.18E-01,2.99E-01,5,463,Not eroded,0,0,1,1,1,1,1,-7.69E-06,-7.24E-06,-3.62E-05,3.77E-05,7.54E-06,0,6.74E-02,0,1,0,0,0
466,2.26E-01,1.69E-01,2.83E-01,0,466,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
472,2.33E-01,1.70E-01,2.56E-01,0,472,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
473,1.30E-01,2.47E-01,2.98E-01,5,473,Not eroded,0,0,1,1,1,1,1,7.24E-08,2.62E-07,-8.68E-08,2.85E-07,5.71E-08,0,5.10E-04,0,1,0,0,0
474,2.21E-01,2.53E-01,2.77E-01,5,474,Not eroded,0,0,1,1,1,1,1,-2.00E-06,-7.70E-07,-1.84E-06,2.82E-06,5.64E-07,0,5.04E-03,0,1,0,0,0
481,2.65E-01,1.04E-01,2.43E-01,0,481,Not eroded,0,0,1,1,1,1,0,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
488,1.71E-01,1.77E-01,2.68E-01,0,488,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
492,5.60E-02,1.94E-01,2.47E-01,0,492,Not eroded,0,0,1,1,1,1,0,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
497,2.38E-01,1.93E-01,2.75E-01,4,497,Not eroded,0,0,1,1,1,1,1,8.77E-06,2.89E-06,1.82E-05,2.04E-05,5.10E-06,0,3.65E-02,1,1,0,0,0
499,6.53E-02,2.47E-01,2.87E-01,0,499,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
500,1.63E-01,5.61E-02,2.77E-01,3,500,Not eroded,0,0,1,1,1,1,1,4.45E-08,-8.20E-07,-8.28E-09,8.21E-07,2.74E-07,1,1.47E-03,1,1,0,0,0
501,5.60E-02,2.07E-01,2.42E-01,4,501,Not eroded,0,0,1,1,1,1,0,-2.66E-07,-1.47E-08,1.27E-07,2.95E-07,7.37E-08,0,5.28E-04,1,1,0,0,0
513,1.57E-01,1.82E-01,3.26E-01,0,513,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
515,5.62E-02,2.74E-01,3.10E-01,0,515,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
518,2.08E-01,1.05E-01,2.51E-01,0,518,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
522,1.86E-01,2.16E-01,2.67E-01,3,522,Not eroded,0,0,1,1,1,1,1,-5.11E-08,1.90E-06,1.38E-06,2.35E-06,7.83E-07,1,4.20E-03,1,1,0,0,0
523,2.74E-01,1.58E-01,2.69E-01,0,523,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
525,2.54E-01,2.32E-01,3.26E-01,0,525,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
532,7.09E-02,3.17E-01,2.59E-01,4,532,Not eroded,0,0,1,1,1,1,1,2.60E-07,-9.48E-08,8.97E-08,2.91E-07,7.28E-08,0,5.21E-04,1,1,0,0,0
533,3.24E-01,1.56E-01,2.94E-01,0,533,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
534,5.67E-02,1.15E-01,3.20E-01,0,534,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
535,7.58E-02,5.60E-02,2.59E-01,6,535,Not eroded,0,0,1,1,1,1,1,2.71E-07,-8.32E-07,9.49E-08,8.80E-07,1.47E-07,0,1.57E-03,0,0,0,0,0
544,2.64E-01,2.19E-01,3.26E-01,4,544,ERODED,1,1,1,1,1,1,1,4.14E-05,1.09E-05,-1.49E-05,4.53E-05,1.13E-05,0,8.10E-02,1,1,0,0,0
551,2.89E-01,1.74E-01,3.22E-01,0,551,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
