Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location half,Z location 0.21,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 Connectivity,2 Connectivity,4 Connectivity,5 Connectivity
367,2.56E-01,9.17E-02,0.3247861,0,367,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
368,2.33E-01,2.16E-01,0.3065402,0,368,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
370,9.00E-02,2.20E-01,0.2545188,4,370,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
372,2.45E-01,2.43E-01,0.2232408,4,372,Not eroded,0,1,1,1,0,0,0,0,0,0,1,1
373,2.57E-01,1.86E-01,0.3196926,0,373,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
375,1.94E-01,2.40E-01,0.3196384,0,375,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
376,5.66E-02,2.28E-01,0.2132786,0,376,Not eroded,0,1,1,0,0,0,0,1,1,1,1,1
380,1.15E-01,1.60E-01,0.2218547,0,380,Not eroded,0,1,1,1,0,0,0,1,1,1,1,1
381,1.85E-01,1.70E-01,0.2347691,0,381,Not eroded,0,1,1,1,1,0,0,1,1,1,1,1
385,2.24E-01,2.17E-01,0.3164975,0,385,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
389,1.87E-01,7.85E-02,0.3247787,0,389,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
392,3.02E-01,2.64E-01,0.268439,5,392,Not eroded,0,1,1,1,1,1,1,0,0,0,0,1
397,1.45E-01,2.85E-01,0.2993505,0,397,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
399,2.15E-01,2.28E-01,0.328734,0,399,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
400,1.01E-01,2.51E-01,0.227265,3,400,Not eroded,0,1,1,1,0,0,0,1,0,0,1,1
407,1.78E-01,3.24E-01,0.281359,0,407,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
410,2.51E-01,2.02E-01,0.3135068,0,410,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
411,5.72E-02,2.83E-01,0.2833709,0,411,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
413,2.67E-01,2.27E-01,0.2299171,5,413,Not eroded,0,1,1,1,0,0,0,0,0,0,0,1
414,2.59E-01,1.88E-01,0.3024129,0,414,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
415,1.44E-01,2.77E-01,0.2124091,4,415,Not eroded,0,1,1,0,0,0,0,0,0,0,1,1
416,7.16E-02,1.19E-01,0.2495547,4,416,Not eroded,0,1,1,1,1,1,0,0,0,0,1,1
418,1.10E-01,8.87E-02,0.2390715,3,418,Not eroded,0,1,1,1,1,0,0,1,0,0,1,1
420,1.86E-01,7.77E-02,0.2996442,0,420,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
422,7.68E-02,9.53E-02,0.2211389,5,422,Not eroded,0,1,1,1,0,0,0,0,0,0,0,1
427,1.45E-01,2.02E-01,0.2344438,5,427,Not eroded,0,1,1,1,1,0,0,0,0,0,0,1
432,1.24E-01,1.39E-01,0.2236097,4,432,Not eroded,0,1,1,1,0,0,0,0,0,0,1,1
433,2.81E-01,1.64E-01,0.2494957,3,433,Not eroded,0,1,1,1,1,1,0,1,0,0,1,1
434,2.38E-01,2.34E-01,0.2627282,6,434,Not eroded,0,1,1,1,1,1,1,0,0,0,0,0
436,1.63E-01,2.57E-01,0.2812489,0,436,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
439,2.05E-01,1.62E-01,0.2266252,4,439,Not eroded,0,1,1,1,0,0,0,0,0,0,1,1
445,2.46E-01,2.69E-01,0.3113561,0,445,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
448,1.50E-01,2.57E-01,0.3250069,0,448,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
449,5.89E-02,1.45E-01,0.2824346,0,449,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
450,7.31E-02,2.62E-01,0.3250721,0,450,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
